ego	alter	pair	tie	village_code_ego	village_code_alter	T2	T1
Ers1-7806f172-80e6-4092-a88f-8b00cf13858f	Ers1-cca8acef-45c8-40c3-ace3-48ae3e298aae	----------0000001111222333344445566778888888888899aaaaaaabccccccceeeeeeEEfffffrrss	none	26	26	0	0.14285714285714285
Ers1-cca8acef-45c8-40c3-ace3-48ae3e298aae	+VY8-e18947a2-ea9f-47f1-a5da-3a44b940df6f	----------+0011122333344444444556778888889999aaaaaaaaaaabccccccddeeeeeeeEfffffrsVY	yes	26	26	0.017241379310344827	0.027777777777777776
Ers1-a43543cc-bd07-4aba-812f-42abc3517f28	Ers1-cca8acef-45c8-40c3-ace3-48ae3e298aae	----------00111122223333334444444555778888889aaaaaaaaaabbbcccccccccdeeeeeEEfffrrss	none	26	26	0.030303030303030304	0.043478260869565216
Ers1-cca8acef-45c8-40c3-ace3-48ae3e298aae	enz0-0d3f9285-2398-47e6-aca2-ada2c6a8fc09	----------00001222223333344445566788888889999aaaaaaaaaaacccccccccddeeeeeeeEfffnrsz	none	26	26	0.19230769230769232	0.043478260869565216
Ers1-cca8acef-45c8-40c3-ace3-48ae3e298aae	blkH-6152c132-7c22-4a5e-ab9d-3709e23393cc	----------0011122222233333333444455567788889999aaaaaaaabbccccccccccdeeeeeeeEfHklrs	none	26	26	0.023255813953488372	0.03333333333333333
Ers1-cca8acef-45c8-40c3-ace3-48ae3e298aae	blkH-24744230-1b97-4195-abb5-84936afd87fa	----------00111222333334444444455567778888889999aaaaaaaaabbbbccccccdeeeeeEfffHklrs	none	26	26	0.022727272727272728	0.047619047619047616
enz0-54c4a166-642d-4707-9dd9-eac58c3452b0	enz0-f05ca85d-82e0-40e0-abe7-0b0e96a9ba38	----------000000000012223344444455555666677788889999aaaaaabbbbccccddddeeeeeeefnnzz	none	26	26	0	0.061224489795918366
enz0-54c4a166-642d-4707-9dd9-eac58c3452b0	Ers1-340e84bd-06ba-4fb5-99ed-4a46dfffdb65	----------0000011223344444444445555566666677889999aaaabbbbbcccdddddddeeeeEffffnrsz	yes	26	26	0	0.09090909090909091
enz0-54c4a166-642d-4707-9dd9-eac58c3452b0	Ers1-f3027bcc-c8c2-474e-af33-f14324abcbe6	----------00001112222233333444444444555666677778899aaaabbbbccccccccdddeeeeEfffnrsz	none	26	26	0.03125	0.06521739130434782
enz0-54c4a166-642d-4707-9dd9-eac58c3452b0	enz0-ce7dad59-da03-48d6-9649-40202eba50aa	----------0000000012222334444444455555666667778899999aaaaaaabbccccdddddddeeeeennzz	none	26	26	0.17647058823529413	0.1891891891891892
enz0-54c4a166-642d-4707-9dd9-eac58c3452b0	1138021f-5f85-44c5-8a95-ed6ba3e0a277	---------000001111222233344444445555555666677778888999aaaaabbccccddddeeeeffnz	none	26	26	0.024390243902439025	0.0425531914893617
blkH-c58c6cc8-9f1e-4d48-be2f-389e41f01397	enz0-54c4a166-642d-4707-9dd9-eac58c3452b0	----------0000111122233344444444555566667778888899999aabbbcccccccddddeeeeefffHklnz	none	26	26	0	0.08333333333333333
enz0-54c4a166-642d-4707-9dd9-eac58c3452b0	enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	----------000000111222234444444455555666777778888899999aaaabcccccdddddeeeeeeefnnzz	none	26	26	0	0.023809523809523808
enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	4lo4-ebedba06-2a6f-48ce-9501-3e8f248b3726	----------0000011122222334444444555666777788888889999aaaabbbcccdddeeeeeeeeeffflnoz	none	26	26	0.04	0.058823529411764705
enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	blkH-76ab9730-78c6-416e-b93b-60f97275edea	----------0000011122233444455566667777777788888999999aaaabbbbcccdddeeeeeeeeffHklnz	none	26	26	0.02857142857142857	0.022222222222222223
Ers1-72d1ba90-ff2b-4c74-8df8-9d8d03a429a3	enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	----------000001111222223344444455777778888888999999aaaaabbcccddddddeeeeeEffffnrsz	none	26	26	0.1044776119402985	0.03333333333333333
blkH-f76107be-0a15-446b-8f07-b58b8379db6e	enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	----------0000001111223444445555666777777788888889999aaabbbbbbccdddeeeeeeefffHklnz	yes	26	26	0.07142857142857142	0
Ers1-7806f172-80e6-4092-a88f-8b00cf13858f	enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	----------00000000111112222344445556677777888888888889999aaabcccddeeeeeeEfffffnrsz	none	26	26	0.02631578947368421	0.02631578947368421
enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	+VY8-e18947a2-ea9f-47f1-a5da-3a44b940df6f	----------+00001111222344444444555677777888888999999aaaaaaabccddddeeeeeeefffffnVYz	none	26	26	0.07058823529411765	0.037037037037037035
Ers1-a43543cc-bd07-4aba-812f-42abc3517f28	enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	----------000011111222223334444444555577777888888999aaaaaabbbcccccdddeeeeeEfffnrsz	none	26	26	0.06666666666666667	0.06060606060606061
enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	enz0-0d3f9285-2398-47e6-aca2-ada2c6a8fc09	----------000000112222223344445556677778888888999999aaaaaaacccccddddeeeeeeefffnnzz	none	26	26	0.043478260869565216	0.043478260869565216
