gender.mm	gender.mf	indigenous.both	indigenous.one	religion.same	age_difference_abs	average_age	wealth_difference_abs	average_wealth	education_difference_abs	average_education	household_same	related	strain_sharing_rate	village_code_w3	bray_curtis_sim
FALSE	TRUE	TRUE	FALSE	TRUE	34	52	3	2.5	3	1.5	FALSE	0	8.860759493670885	21	0.7312338478213836
FALSE	TRUE	FALSE	TRUE	TRUE	10	24	0	3	1	5.5	FALSE	0	7.894736842105263	21	0.6940136223945514
FALSE	TRUE	TRUE	FALSE	TRUE	6	35	0	1	4	3	FALSE	0	14.85148514851485	21	0.6259396064849019
FALSE	FALSE	FALSE	TRUE	TRUE	8	26	2	2	0	2	FALSE	0	1.7241379310344827	21	0.5828792625681103
FALSE	TRUE	FALSE	TRUE	TRUE	8	21	2	2	2	5	FALSE	0	9.375	21	0.5757837091026704
FALSE	FALSE	FALSE	TRUE	TRUE	16	32	1	2.5	1	3.5	FALSE	0	15	21	0.888471794798975
FALSE	TRUE	TRUE	FALSE	TRUE	19	28.5	1	3.5	2	5	FALSE	0	6.0606060606060606	21	0.5579390905573639
FALSE	TRUE	TRUE	FALSE	TRUE	10	33	2	4	2	5	FALSE	0	11.458333333333332	21	0.39275313202844503
FALSE	TRUE	TRUE	FALSE	FALSE	7	35.5	1	1.5	0	3	FALSE	0	8.571428571428571	21	0.5573799114759822
FALSE	TRUE	FALSE	TRUE	TRUE	14	31	0	3	3	3.5	FALSE	0	5	21	0.5005158001031592
FALSE	FALSE	FALSE	TRUE	TRUE	13	30.5	0	1	2	4	FALSE	0	6.730769230769231	21	0.5157200999999998
FALSE	FALSE	TRUE	FALSE	TRUE	1	66.5	1	3.5	1	0.5	FALSE	0	12.087912087912088	21	0.6448580953280473
FALSE	TRUE	FALSE	TRUE	TRUE	3	21.5	0	3	2	5	FALSE	0	3.571428571428571	21	0.8934934893493499
FALSE	TRUE	FALSE	TRUE	TRUE	23	29.5	2	4	6	3	FALSE	0	7.777777777777778	21	0.5940686985171749
FALSE	TRUE	FALSE	TRUE	TRUE	7	19.5	1	1.5	2	4	FALSE	0	5.88235294117647	21	0.7247415513921479
TRUE	FALSE	FALSE	TRUE	TRUE	20	27	1	2.5	4	3	FALSE	0	0	21	0.6018852805655843
FALSE	FALSE	TRUE	FALSE	TRUE	4	24	1	1.5	0	5	FALSE	0	4.716981132075472	21	0.6665281834510441
FALSE	FALSE	FALSE	TRUE	FALSE	7	31.5	0	3	4	4	FALSE	0	3.3707865168539324	21	0.6515857477378615
FALSE	TRUE	TRUE	FALSE	FALSE	46	56	1	1.5	7	3.5	FALSE	0	7.4074074074074066	21	0.8629795685102162
FALSE	TRUE	TRUE	FALSE	TRUE	24	47	1	2.5	3	1.5	FALSE	0	4.3478260869565215	21	0.45668142716592913
FALSE	FALSE	FALSE	TRUE	TRUE	13	29.5	3	3.5	0	4	FALSE	0	9.30232558139535	21	0.5578229768708088
FALSE	TRUE	TRUE	FALSE	TRUE	18	34	1	2.5	1	2.5	FALSE	0	5.172413793103448	21	0.46909747345487324
FALSE	TRUE	FALSE	TRUE	TRUE	9	20.5	0	3	3	4.5	FALSE	0	2.4390243902439024	21	0.5082370983525816
FALSE	TRUE	FALSE	TRUE	TRUE	11	26.5	0	2	0	5	FALSE	0	4.761904761904762	21	0.6009304009304011
TRUE	FALSE	FALSE	TRUE	TRUE	11	43.5	2	2	0	2	FALSE	0	4.651162790697675	21	0.5055044999999999
TRUE	FALSE	FALSE	TRUE	TRUE	15	23.5	2	3	3	4.5	FALSE	0	3.8461538461538463	21	0.7172821000000007
FALSE	FALSE	FALSE	TRUE	TRUE	27	43.5	0	2	6	3	FALSE	0	2.7027027027027026	21	0.8249311525206549
FALSE	TRUE	TRUE	FALSE	TRUE	9	29.5	0	3	0	3	FALSE	0	5.454545454545454	21	0.5054142247292888
FALSE	FALSE	FALSE	TRUE	FALSE	18	28	2	3	2	5	FALSE	0	10.465116279069768	21	0.607232162531256
FALSE	TRUE	FALSE	TRUE	TRUE	17	24.5	1	3.5	3	4.5	FALSE	0	0	21	0.5238339809584961
FALSE	TRUE	TRUE	FALSE	TRUE	16	30	2	2	3	2.5	FALSE	0	13.333333333333334	21	0.5511730204692089
FALSE	TRUE	FALSE	TRUE	FALSE	9	23.5	0	3	3	3.5	TRUE	0	13.402061855670103	21	0.6444868466730264
FALSE	TRUE	TRUE	FALSE	TRUE	47	42.5	0	4	5	3.5	FALSE	0	14.285714285714285	21	0.6628628842842788
FALSE	TRUE	TRUE	FALSE	TRUE	1	33.5	1	1.5	3	3.5	FALSE	0	6.521739130434782	21	0.509323924533804
